PSR,Observatory,Year,RMS
J0340+4130,GBT,2012,1.0770909586985
J0605+3757,GBT,2017,2.08494941888376
J0610-2100,GBT,2017,0.996646680528535
J0613-0200,GBT,2010,0.269767815405133
J0636+5128,GBT,2014,0.313521786876071
J0645+5158,GBT,2011,0.22165641910325
J0740+6620,GBT,2014,0.270038049097254
J0931-1902,GBT,2013,0.911593874549635
J1012+5307,GBT,2010,0.255524708843972
J1012-4235,GBT,2017,3.25574462894895
J1024-0719,GBT,2010,0.39354609906852
J1125+7819,GBT,2014,0.58865192257691
J1455-3330,GBT,2010,0.783214205297989
J1600-3053,GBT,2010,0.140160237737369
J1614-2230,GBT,2010,0.253329172999438
J1630+3734,GBT,2017,0.548934264333629
J1643-1224,GBT,2010,0.330855110341735
J1705-1903,GBT,2017,0.121527236700554
J1719-1438,GBT,2017,1.27452493181737
J1730-2304,GBT,2017,0.374439165424044
J1744-1134,GBT,2010,0.080339072659549
J1747-4036,GBT,2012,0.701638942897941
J1751-2857,GBT,2017,2.4939775700816
J1802-2124,GBT,2017,0.75670048380844
J1811-2405,GBT,2017,0.368007149650836
J1832-0836,GBT,2013,0.352473060959627
J1843-1113,GBT,2017,0.221951706289253
J1909-3744,GBT,2010,0.029525128426015
J1911-1114,GBT,2017,1.49704356783263
J1918-0642,GBT,2010,0.301266850167016
J2010-1323,GBT,2010,0.369589102716257
J2124-3358,GBT,2017,0.83606560168468
J2145-0750,GBT,2010,0.22467374015381
J2302+4442,GBT,2012,1.06104288972659
J0023+0923,AO,2012,0.181260030147757
J0030+0451,AO,2015,0.162029434252681
J0337+1715,AO,2017,0.094122026279642
J0406+3039,AO,2017,0.440415998370309
J0509+0856,AO,2017,2.89533753581756
J0557+1551,AO,2016,2.17094235576861
J0621+2514,AO,2016,4.03323726075321
J0709+0458,AO,2016,5.81857713683481
J1022+1001,AO,2016,0.611606124311227
B1257+12 ,AO,2016,0.975572827738264
J1312+0051,AO,2016,2.0489886398758
J1453+1902,AO,2014,0.878144353181442
J1640+2224,AO,2015,0.061448299431284
J1713+0747,AO,2015,0.024345514751127
J1738+0333,AO,2012,0.693598726159958
J1741+1351,AO,2012,0.101378816593619
J1745+1017,AO,2016,0.395578850578834
J1853+1303,AO,2012,0.205365121134903
B1855+09 ,AO,2012,0.123423693983597
J1903+0327,AO,2012,0.500836408994467
J1910+1256,AO,2012,0.537928754490353
J1911+1347,AO,2015,0.180431787431886
J1923+2515,AO,2012,0.375766219348875
J1944+0907,AO,2012,0.299334197754577
J1946+3417,AO,2015,0.567405594011657
B1953+29 ,AO,2012,0.567411278134336
J2017+0603,AO,2012,0.447867809369581
J2033+1734,AO,2014,0.555215592654245
J2043+1711,AO,2015,0.055135679508149
J2214+3000,AO,2012,0.850399148204414
J2229+2643,AO,2015,0.252862167910612
J2234+0611,AO,2014,0.097219769144087
J2234+0944,AO,2014,0.386679152948557
J2317+1439,AO,2015,0.072901107436439
J2322+2057,AO,2015,0.249912862080261
